"","connection","date","time","from","to","vehicle","occupancy","line","from.station","from.name","from.longitude","from.latitude","from.avg_stop_times","from.prov","from.count","from.groups","from.k","from.maxcount","from.maj_groups","from.major_hub","from.non_hub","to.station","to.name","to.longitude","to.latitude","to.avg_stop_times","to.prov","to.count","to.groups","to.k","to.maxcount","to.maj_groups","to.major_hub","to.non_hub","occ_binary","date_time","hour","min","min_of_day","day_of_week","dist_morning_rush","dist_evening_rush","dist_rush","from_bruss","to_bruss","to_from_bruss","vehicle_type","nr_of_stops","temperature","humidity","windspeed","visibility","weather_type","to_from_maj_hub","in_group","in_group_maj","tf_avg_stop","tf_count","to.Hainut","to.VlaamsBrabant","from.Hainut","from.VlaamsBrabant","line7573","line66","line12"
"1250","8893013/20161005/L557",2016-10-05,"08:53:30 AM","008893013","008893401","L557","low","l.53","008893013","Merelbeke",3.768889,51.017531,64.190751445087,"Oost-Vlaanderen",69,"g2","k = 11",343,"mg1","N","N","008893401","Dendermonde",4.101427,51.022781,101.87283236994,"Oost-Vlaanderen",100,"g8","k = 11",334,"mg1","N","N","0",2016-10-05 09:00:00,9,0,540,"Wednesday",1,9,1,"N","N","N","L",28,10,70,20,10,"wt.113","N","N","Y",83.0317919075135,84.5,"N","N","N","N","N","N","N"
"1252","008831005/20161005/IC1534",2016-10-05,"09:05:54 AM","008831005","008812005","IC1534","medium","l.35","008831005","Hasselt",5.327627,50.930822,180.59826589595,"Limburg",132,"g5","k = 11",132,"mg1","N","N","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","0",2016-10-05 09:00:00,9,0,540,"Wednesday",1,9,1,"N","Y","Y","IC",16,9,66,18,10,"wt.113","Y","N","N",410.432080924855,388.5,"N","N","N","N","N","N","N"
"1253","008891140/20161005/IC1508",2016-10-05,"09:11:54 AM","008891140","008892007","IC1508","low","l.50A","008891140","Aalter",3.447848,51.092295,78.488439306358,"Oost-Vlaanderen",91,"g2","k = 11",343,"mg1","N","N","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","0",2016-10-05 09:00:00,9,0,540,"Wednesday",1,9,1,"N","N","N","IC",16,11,68,21,10,"wt.113","Y","Y","N",193.751445086704,217,"N","N","N","N","N","N","N"
"1254","008821246/20161005/S11960",2016-10-05,"12:42:53 PM","008821246","008821147","S11960","low","l.25","008821246","Mortsel-Liersesteenweg",4.468843,51.169027,25.106936416185,"Antwerpen",34,"g8","k = 11",334,"mg3","N","N","008821147","Mortsel",4.448437,51.18296,67.687861271676,"Antwerpen",59,"g8","k = 11",334,"mg1","N","N","0",2016-10-05 13:00:00,13,0,780,"Wednesday",5,5,5,"N","N","N","S",28,13,51,24,10,"wt.113","N","Y","N",46.3973988439305,46.5,"N","N","N","N","N","N","N"
"1255","008811510/20161005/S83962",2016-10-05,"12:53:46 PM","008811510","008811676","S83962","high","l.161","008811510","La Hulpe",4.49706,50.737958,30.734104046243,"Brabant Wallon",36,"g4","k = 11",114,"mg3","N","N","008811676","Louvain-la-Neuve-Université",4.615745,50.669793,79.942196531792,"Brabant Wallon",25,"g4","k = 11",114,"mg4","N","N","1",2016-10-05 13:00:00,13,0,780,"Wednesday",5,5,5,"N","N","N","S",13,13,52,25,10,"wt.113","N","Y","N",55.3381502890175,30.5,"N","N","N","N","N","N","N"
"1256","008814001/20161005/S23683",2016-10-05,"12:54:17 PM","008814001","008814373","S23683","medium","l.96","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","008814373","Vorst-Zuid/Forest-Midi",4.309167,50.809215,49.054913294798,"Bruxelles",29,"g9","k = 11",660,"mg4","N","N","0",2016-10-05 13:00:00,13,0,780,"Wednesday",5,5,5,"Y","N","Y","S",22,13,51,26,10,"wt.113","Y","Y","N",367.835260115609,344.5,"N","N","N","N","N","N","N"
"1257","008814373/20161005/S23683",2016-10-05,"12:54:21 PM","008814373","008814365","S23683","medium","l.96","008814373","Vorst-Zuid/Forest-Midi",4.309167,50.809215,49.054913294798,"Bruxelles",29,"g9","k = 11",660,"mg4","N","N","008814365","Ruisbroek",4.295333,50.79183,49.054913294798,"Vlaams Brabant",29,"g9","k = 11",660,"mg4","N","N","0",2016-10-05 13:00:00,13,0,780,"Wednesday",5,5,5,"N","N","N","S",22,13,52,25,10,"wt.113","N","Y","Y",49.054913294798,29,"N","Y","N","N","N","N","N"
"1258","008814365/20161005/S23683",2016-10-05,"12:54:36 PM","008814365","008814357","S23683","medium","l.96","008814365","Ruisbroek",4.295333,50.79183,49.054913294798,"Vlaams Brabant",29,"g9","k = 11",660,"mg4","N","N","008814357","Lot",4.273696,50.766364,49.054913294798,"Vlaams Brabant",29,"g9","k = 11",660,"mg4","N","N","0",2016-10-05 13:00:00,13,0,780,"Wednesday",5,5,5,"N","N","N","S",22,13,52,25,10,"wt.113","N","Y","Y",49.054913294798,29,"N","Y","N","Y","N","N","N"
"1259","008814357/20161005/S23683",2016-10-05,"12:54:43 PM","008814357","008814340","S23683","low","l.96","008814357","Lot",4.273696,50.766364,49.054913294798,"Vlaams Brabant",29,"g9","k = 11",660,"mg4","N","N","008814340","Buizingen",4.258558,50.751577,49.054913294798,"Vlaams Brabant",29,"g9","k = 11",660,"mg4","N","N","0",2016-10-05 13:00:00,13,0,780,"Wednesday",5,5,5,"N","N","N","S",22,13,52,25,10,"wt.113","N","Y","Y",49.054913294798,29,"N","Y","N","Y","N","N","N"
"1260","008814340/20161005/S23683",2016-10-05,"12:54:48 PM","008814340","008814308","S23683","low","l.96","008814340","Buizingen",4.258558,50.751577,49.054913294798,"Vlaams Brabant",29,"g9","k = 11",660,"mg4","N","N","008814308","Halle",4.240634,50.733931,182.09826589595,"Vlaams Brabant",139,"g9","k = 11",660,"mg1","N","N","0",2016-10-05 13:00:00,13,0,780,"Wednesday",5,5,5,"N","N","N","S",22,13,52,25,10,"wt.113","N","Y","N",115.576589595374,84,"N","Y","N","Y","N","N","N"
"1261","008812005/20161005/IC1535",2016-10-05,"01:17:54 PM","008812005","008892007","IC1535","low","l.50","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","0",2016-10-05 13:00:00,13,0,780,"Wednesday",5,5,5,"Y","N","Y","IC",16,13,51,26,10,"wt.113","Y","N","Y",474.640173410405,494,"N","N","N","N","N","N","N"
"1262","008811601/20161005/S86585",2016-10-05,"02:09:22 PM","008811601","008811510","S86585","low","l.161","008811601","Ottignies",4.56936,50.673667,253.4710982659,"Brabant Wallon",114,"g4","k = 11",114,"mg1","N","N","008811510","La Hulpe",4.49706,50.737958,30.734104046243,"Brabant Wallon",36,"g4","k = 11",114,"mg3","N","N","0",2016-10-05 14:00:00,14,0,840,"Wednesday",6,4,4,"N","N","N","S",15,13,52,24,10,"wt.113","N","Y","N",142.102601156072,75,"N","N","N","N","N","N","N"
"1263","008811429/20161005/S86564",2016-10-05,"02:20:51 PM","008811429","008811437","S86564","low","l.161","008811429","Watermaal/Watermael",4.399887,50.80917,18.28323699422,"Bruxelles",19,"g9","k = 11",660,"mg4","N","N","008811437","Bosvoorde/Boitsfort",4.408112,50.794698,31.947976878613,"Bruxelles",38,"g9","k = 11",660,"mg3","N","N","0",2016-10-05 14:00:00,14,0,840,"Wednesday",6,4,4,"N","N","N","S",15,13,51,26,10,"wt.113","N","Y","N",25.1156069364165,28.5,"N","N","N","N","N","N","N"
"1264","8812005/20161005/IC1512",2016-10-05,"03:12:10 PM","008812005","008833605","IC1512","low","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008833605","Landen",5.07966,50.747927,87.508670520231,"Vlaams Brabant",109,"g3","k = 11",300,"mg1","N","N","0",2016-10-05 15:00:00,15,0,900,"Wednesday",7,3,3,"Y","N","Y","IC",16,14,51,27,10,"wt.113","Y","N","N",363.887283236996,377,"N","Y","N","N","N","N","N"
"1265","8812005/20161005/IC1512",2016-10-05,"03:12:10 PM","008812005","008833605","IC1512","medium","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008833605","Landen",5.07966,50.747927,87.508670520231,"Vlaams Brabant",109,"g3","k = 11",300,"mg1","N","N","0",2016-10-05 15:00:00,15,0,900,"Wednesday",7,3,3,"Y","N","Y","IC",16,14,51,27,10,"wt.113","Y","N","N",363.887283236996,377,"N","Y","N","N","N","N","N"
"1266","008892007/20161005/IC4115",2016-10-05,"06:14:27 PM","008892007","008833001","IC4115","medium","l.53","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","008833001","Leuven",4.715866,50.88228,351.9161849711,"Vlaams Brabant",300,"g3","k = 11",300,"mg5","Y","N","0",2016-10-05 18:00:00,18,0,1080,"Wednesday",10,0,0,"N","N","N","IC",13,13,58,21,10,"wt.113","Y","N","Y",330.465317919075,321.5,"N","Y","N","N","N","N","N"
"1267","008813003/20161005/S11788",2016-10-05,"06:23:44 PM","008813003","008814241","S11788","high","l.124","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","008814241","Lillois",4.365368,50.645423,48.872832369942,"Brabant Wallon",40,"g9","k = 11",660,"mg3","N","N","1",2016-10-05 18:00:00,18,0,1080,"Wednesday",10,0,0,"Y","N","Y","S",27,12,61,24,10,"wt.113","Y","Y","N",341.518786127166,340.5,"N","N","N","N","N","N","N"
"1268","008813003/20161005/IC2039",2016-10-05,"06:27:34 PM","008813003","008871308","IC2039","low","l.124","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","008871308","Luttre",4.38412,50.505856,101.96242774566,"Hainaut",54,"g10","k = 11",97,"mg3","N","N","0",2016-10-05 18:00:00,18,0,1080,"Wednesday",10,0,0,"Y","N","Y","IC",11,12,61,24,10,"wt.113","Y","N","N",368.063583815025,347.5,"Y","N","N","N","N","N","N"
"1269","008821600/20161005/IC4220",2016-10-05,"09:30:31 PM","008821600","008821121","IC4220","high","l.15","008821600","Lier",4.560614,51.135758,154.41329479769,"Antwerpen",98,"g3","k = 11",300,"mg1","N","N","008821121","Antwerpen-Berchem",4.432221,51.19923,421.64450867052,"Antwerpen",322,"g8","k = 11",334,"mg5","Y","N","1",2016-10-05 22:00:00,22,0,1320,"Wednesday",10,4,4,"N","N","N","IC",6,9,73,17,10,"wt.113","Y","N","N",288.028901734105,210,"N","N","N","N","N","N","N"
"1270","008812237/20161006/S102081",2016-10-06,"01:05:38 AM","008812237","008812229","S102081","low","l.50","008812237","Dilbeek",4.243393,50.866728,39.121387283237,"Vlaams Brabant",30,"g8","k = 11",334,"mg4","N","N","008812229","Groot-Bijgaarden",4.273543,50.868337,39.121387283237,"Vlaams Brabant",30,"g8","k = 11",334,"mg4","N","N","0",2016-10-06 01:00:00,1,0,60,"Thursday",7,9,7,"N","N","N","S",28,7,83,17,10,"wt.113","N","Y","Y",39.121387283237,30,"N","Y","N","Y","N","N","N"
"1271","008812047/20161006/IC3232",2016-10-06,"01:05:56 AM","008812047","008813003","IC3232","low","l.0","008812047","Jette",4.32622,50.880833,95.676300578035,"Bruxelles",63,"g9","k = 11",660,"mg1","N","N","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","0",2016-10-06 01:00:00,1,0,60,"Thursday",7,9,7,"N","Y","Y","IC",20,7,83,17,10,"wt.113","Y","Y","N",364.920520231212,352,"N","N","N","N","N","N","N"
"1272","008896008/20161006/IC407",2016-10-06,"06:11:54 AM","008896008","008892007","IC407","high","l.75-73","008896008","Kortrijk",3.264549,50.824506,153.11560693642,"West-Vlaanderen",116,"g11","k = 11",183,"mg1","N","N","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","1",2016-10-06 06:00:00,6,0,360,"Thursday",2,12,2,"N","N","N","IC",10,6,88,14,10,"wt.113","Y","N","N",231.065028901735,229.5,"N","N","N","N","Y","N","N"
"1273","008842002/20161006/IC429",2016-10-06,"07:00:00 AM","008842002","008841004","IC429","low","l.37","008842002","Angleur",5.599695,50.613152,87.130057803468,"Liège",28,"g6","k = 11",119,"mg4","N","N","008841004","Liège-Guillemins",5.566695,50.62455,269.12427745665,"Liège",119,"g6","k = 11",119,"mg1","N","N","0",2016-10-06 07:00:00,7,0,420,"Thursday",1,11,1,"N","N","N","IC",15,4,91,13,10,"wt.116","N","Y","N",178.127167630059,73.5,"N","N","N","N","N","N","N"
"1274","008841004/20161006/IC429",2016-10-06,"07:00:09 AM","008841004","008833001","IC429","high","l.36","008841004","Liège-Guillemins",5.566695,50.62455,269.12427745665,"Liège",119,"g6","k = 11",119,"mg1","N","N","008833001","Leuven",4.715866,50.88228,351.9161849711,"Vlaams Brabant",300,"g3","k = 11",300,"mg5","Y","N","1",2016-10-06 07:00:00,7,0,420,"Thursday",1,11,1,"N","N","N","IC",15,4,91,13,10,"wt.116","Y","N","N",310.520231213875,209.5,"N","Y","N","N","N","N","N"
"1275","008833001/20161006/IC429",2016-10-06,"07:00:15 AM","008833001","008812005","IC429","high","l.36","008833001","Leuven",4.715866,50.88228,351.9161849711,"Vlaams Brabant",300,"g3","k = 11",300,"mg5","Y","N","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","1",2016-10-06 07:00:00,7,0,420,"Thursday",1,11,1,"N","Y","Y","IC",15,5,84,12,10,"wt.113","Y","N","Y",496.09104046243,472.5,"N","N","N","Y","N","N","N"
"1276","008812005/20161006/IC429",2016-10-06,"07:00:19 AM","008812005","008813003","IC429","medium","l.0","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","0",2016-10-06 07:00:00,7,0,420,"Thursday",1,11,1,"Y","Y","Y","IC",15,5,85,14,10,"wt.113","Y","Y","Y",637.215317919075,643,"N","N","N","N","N","N","N"
"1277","008813003/20161006/IC429",2016-10-06,"07:00:25 AM","008813003","008814001","IC429","medium","l.0","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","0",2016-10-06 07:00:00,7,0,420,"Thursday",1,11,1,"Y","Y","Y","IC",15,5,85,14,10,"wt.113","Y","Y","Y",660.390173410405,650.5,"N","N","N","N","N","N","N"
"1278","008842002/20161006/IC429",2016-10-06,"07:04:27 AM","008842002","008813003","IC429","medium","l.37","008842002","Angleur",5.599695,50.613152,87.130057803468,"Liège",28,"g6","k = 11",119,"mg4","N","N","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","0",2016-10-06 07:00:00,7,0,420,"Thursday",1,11,1,"N","Y","Y","IC",15,4,91,13,10,"wt.116","Y","N","N",360.647398843929,334.5,"N","N","N","N","N","N","N"
"1279","008833001/20161006/IC529",2016-10-06,"07:07:43 AM","008833001","008813003","IC529","high","l.36","008833001","Leuven",4.715866,50.88228,351.9161849711,"Vlaams Brabant",300,"g3","k = 11",300,"mg5","Y","N","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","1",2016-10-06 07:00:00,7,0,420,"Thursday",1,11,1,"N","Y","Y","IC",11,5,84,12,10,"wt.113","Y","N","Y",493.040462427745,470.5,"N","N","N","Y","N","N","N"
"1280","008814308/20161006/IC3205",2016-10-06,"07:10:54 AM","008814308","008814001","IC3205","medium","l.96","008814308","Halle",4.240634,50.733931,182.09826589595,"Vlaams Brabant",139,"g9","k = 11",660,"mg1","N","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","0",2016-10-06 07:00:00,7,0,420,"Thursday",1,11,1,"N","Y","Y","IC",19,5,85,15,10,"wt.113","Y","Y","N",434.356936416185,399.5,"N","N","N","Y","N","N","N"
"1281","008883006/20161006/IC3406",2016-10-06,"07:13:44 AM","008883006","008883808","IC3406","low","l.96","008883006","Braine-le-Comte",4.137662,50.605079,160.14161849711,"Hainaut",97,"g10","k = 11",97,"mg1","N","N","008883808","Tubize",4.205729,50.691708,76.800578034682,"Brabant Wallon",50,"g9","k = 11",660,"mg3","N","N","0",2016-10-06 07:00:00,7,0,420,"Thursday",1,11,1,"N","N","N","IC",17,5,89,15,10,"wt.116","N","N","N",118.471098265896,73.5,"N","N","Y","N","N","N","N"
"1282","008892007/20161006/P7008",2016-10-06,"07:18:53 AM","008892007","008814001","P7008","medium","l.50","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","0",2016-10-06 07:00:00,7,0,420,"Thursday",1,11,1,"N","Y","Y","P",15,6,79,14,10,"wt.116","Y","N","Y",497.815028901735,501.5,"N","N","N","N","N","N","N"
"1283","008814001/20161006/S23656",2016-10-06,"07:30:11 AM","008814001","008813003","S23656","medium","l.0","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","0",2016-10-06 08:00:00,8,0,480,"Thursday",0,10,0,"Y","Y","Y","S",22,6,80,15,10,"wt.116","Y","Y","Y",660.390173410405,650.5,"N","N","N","N","N","N","N"
"1284","008821147/20161006/S11779",2016-10-06,"07:44:02 AM","008821147","008822004","S11779","low","l.25","008821147","Mortsel",4.448437,51.18296,67.687861271676,"Antwerpen",59,"g8","k = 11",334,"mg1","N","N","008822004","Mechelen",4.482785,51.017648,306.52312138728,"Antwerpen",253,"g3","k = 11",300,"mg5","Y","N","0",2016-10-06 08:00:00,8,0,480,"Thursday",0,10,0,"N","N","N","S",27,6,76,14,10,"wt.113","Y","N","N",187.105491329478,156,"N","N","N","N","N","N","N"
"1285","8892007/20161006/IC1506",2016-10-06,"07:46:47 AM","008892007","008812005","IC1506","medium","l.50","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","0",2016-10-06 08:00:00,8,0,480,"Thursday",0,10,0,"N","Y","Y","IC",16,7,74,14,10,"wt.113","Y","N","Y",474.640173410405,494,"N","N","N","N","N","N","N"
"1286","008814415/20161006/S53357",2016-10-06,"07:50:52 AM","008814415","008814423","S53357","medium","l.26","008814415","Huizingen",4.266487,50.7519,37.742774566474,"Vlaams Brabant",19,"g9","k = 11",660,"mg4","N","N","008814423","Beersel",4.302605,50.766616,37.742774566474,"Vlaams Brabant",19,"g9","k = 11",660,"mg4","N","N","0",2016-10-06 08:00:00,8,0,480,"Thursday",0,10,0,"N","N","N","S",25,6,81,15,10,"wt.116","N","Y","Y",37.742774566474,19,"N","Y","N","Y","N","N","N"
"1287","008896149/20161006/IC407",2016-10-06,"07:51:56 AM","008896149","008813003","IC407","high","l.89","008896149","Waregem",3.42551,50.892456,59.245664739884,"West-Vlaanderen",62,"g11","k = 11",183,"mg1","N","N","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","1",2016-10-06 08:00:00,8,0,480,"Thursday",0,10,0,"N","Y","Y","IC",10,7,78,16,10,"wt.113","Y","N","N",346.705202312137,351.5,"N","N","N","N","N","N","N"
"1288","008812005/20161006/IC2831",2016-10-06,"09:55:43 AM","008812005","008813003","IC2831","high","l.0","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","1",2016-10-06 10:00:00,10,0,600,"Thursday",2,8,2,"Y","Y","Y","IC",7,8,71,16,10,"wt.116","Y","Y","Y",637.215317919075,643,"N","N","N","N","N","N","N"
"1289","008833001/20161006/IC430",2016-10-06,"10:01:39 AM","008833001","008892007","IC430","high","l.53","008833001","Leuven",4.715866,50.88228,351.9161849711,"Vlaams Brabant",300,"g3","k = 11",300,"mg5","Y","N","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","1",2016-10-06 10:00:00,10,0,600,"Thursday",2,8,2,"N","N","N","IC",16,8,72,14,10,"wt.116","Y","N","Y",330.465317919075,321.5,"N","N","N","Y","N","N","N"
"1290","008814001/20161006/IC1739",2016-10-06,"10:27:51 AM","008814001","008881166","IC1739","medium","l.96","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","008881166","Jurbeke",3.910694,50.530496,88.511560693642,"Hainaut",50,"g7","k = 11",63,"mg3","N","N","0",2016-10-06 10:00:00,10,0,600,"Thursday",2,8,2,"Y","N","Y","IC",21,8,71,16,10,"wt.116","Y","N","N",387.563583815031,355,"Y","N","N","N","N","N","N"
"1291","008812005/20161006/S23659",2016-10-06,"10:36:29 AM","008812005","008833001","S23659","low","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008833001","Leuven",4.715866,50.88228,351.9161849711,"Vlaams Brabant",300,"g3","k = 11",300,"mg5","Y","N","0",2016-10-06 11:00:00,11,0,660,"Thursday",3,7,3,"Y","N","Y","S",22,9,67,17,10,"wt.116","Y","N","Y",496.09104046243,472.5,"N","Y","N","N","N","N","N"
"1292","008812005/20161006/IC412",2016-10-06,"01:39:30 PM","008812005","008833001","IC412","low","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008833001","Leuven",4.715866,50.88228,351.9161849711,"Vlaams Brabant",300,"g3","k = 11",300,"mg5","Y","N","0",2016-10-06 14:00:00,14,0,840,"Thursday",6,4,4,"Y","N","Y","IC",15,11,64,20,10,"wt.122","Y","N","Y",496.09104046243,472.5,"N","Y","N","N","N","N","N"
"1293","008814456/20161006/S53564",2016-10-06,"02:36:14 PM","008814456","008811304","S53564","medium","l.161","008814456","Boondaal/Boondael",4.393387,50.801665,59.682080924855,"Bruxelles",31,"g9","k = 11",660,"mg4","N","N","008811304","Brussel-Luxemburg/Bruxelles-Luxembourg",4.373674,50.838943,142.60115606936,"Bruxelles",116,"g9","k = 11",660,"mg1","N","N","0",2016-10-06 15:00:00,15,0,900,"Thursday",7,3,3,"N","Y","Y","S",19,11,65,21,10,"wt.122","N","Y","N",101.141618497108,73.5,"N","N","N","N","N","N","N"
"1294","008821006/20161006/IC2915",2016-10-06,"03:17:21 PM","008821006","008821121","IC2915","low","l.4","008821006","Antwerpen-Centraal",4.421101,51.2172,467.98265895954,"Antwerpen",334,"g8","k = 11",334,"mg5","Y","N","008821121","Antwerpen-Berchem",4.432221,51.19923,421.64450867052,"Antwerpen",322,"g8","k = 11",334,"mg5","Y","N","0",2016-10-06 15:00:00,15,0,900,"Thursday",7,3,3,"N","N","N","IC",7,12,62,19,10,"wt.119","Y","Y","Y",444.81358381503,328,"N","N","N","N","N","N","N"
"1295","008811106/20161006/S53586",2016-10-06,"04:01:40 PM","008811106","008811916","S53586","low","l.26","008811106","Evere",4.400965,50.86778,20.771676300578,"Bruxelles",26,"g9","k = 11",660,"mg4","N","N","008811916","Brussel-Schuman/Bruxelles-Schuman",4.380722,50.843276,97.349710982659,"Bruxelles",116,"g9","k = 11",660,"mg1","N","N","0",2016-10-06 16:00:00,16,0,960,"Thursday",8,2,2,"N","Y","Y","S",19,11,67,20,10,"wt.122","N","Y","N",59.0606936416185,71,"N","N","N","N","N","N","N"
"1296","008822004/20161006/IC2014",2016-10-06,"04:17:28 PM","008822004","008821121","IC2014","low","l.25","008822004","Mechelen",4.482785,51.017648,306.52312138728,"Antwerpen",253,"g3","k = 11",300,"mg5","Y","N","008821121","Antwerpen-Berchem",4.432221,51.19923,421.64450867052,"Antwerpen",322,"g8","k = 11",334,"mg5","Y","N","0",2016-10-06 16:00:00,16,0,960,"Thursday",8,2,2,"N","N","N","IC",11,12,65,18,10,"wt.122","Y","N","Y",364.0838150289,287.5,"N","N","N","N","N","N","N"
"1297","008813003/20161006/IC2014",2016-10-06,"04:17:38 PM","008813003","008821006","IC2014","low","l.25","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","008821006","Antwerpen-Centraal",4.421101,51.2172,467.98265895954,"Antwerpen",334,"g8","k = 11",334,"mg5","Y","N","0",2016-10-06 16:00:00,16,0,960,"Thursday",8,2,2,"Y","N","Y","IC",11,11,67,20,10,"wt.122","Y","N","Y",551.073699421965,487.5,"N","N","N","N","N","N","N"
"1298","008812005/20161006/P8444",2016-10-06,"04:32:28 PM","008812005","008841202","P8444","high","l.36","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008841202","Ans",5.509704,50.661208,53.239884393064,"Liège",35,"g6","k = 11",119,"mg3","N","N","1",2016-10-06 17:00:00,17,0,1020,"Thursday",9,1,1,"Y","N","Y","P",7,11,69,20,10,"wt.119","Y","N","N",346.752890173412,340,"N","N","N","N","N","N","N"
"1299","008833001/20161006/P8364",2016-10-06,"04:48:15 PM","008833001","008833274","P8364","medium","l.35","008833001","Leuven",4.715866,50.88228,351.9161849711,"Vlaams Brabant",300,"g3","k = 11",300,"mg5","Y","N","008833274","Zichem",4.987359,51.00669,32.473988439306,"Vlaams Brabant",15,"g3","k = 11",300,"mg4","N","N","0",2016-10-06 17:00:00,17,0,1020,"Thursday",9,1,1,"N","N","N","P",9,11,70,17,10,"wt.119","Y","Y","N",192.195086705203,157.5,"N","Y","N","Y","N","N","N"
